HACCPProcessingSize,,,ssNm,collectdt,,,RH_DiscardCode,RH_Discard_Reason,CH_DiscardCode,CH_Discard_Reason,Salm_RH_Salmonella,Salm_RH_Serotypes,MT_RH_Salmonella_Quantitative,Salm_CH_Salmonella,Salm_CH_Serotypes,MT_CH_Salmonella_Quantitative
L,,,Animal-Chicken-Broiler / Young Chicken Carcass Rinse,9/7/2022,,,,,,,Negative,,,Negative,,
L,,,Animal-Chicken-Broiler / Young Chicken Carcass Rinse,9/12/2022,,,,,,,Positive,Senftenberg,<10,Negative,,
L,,,Animal-Chicken-Broiler / Young Chicken Carcass Rinse,9/22/2022,,,,,,,Positive,Kentucky,<10,Negative,,
L,,,Animal-Chicken-Broiler / Young Chicken Carcass Rinse,10/3/2022,,,,,,,Positive,Kentucky,<10,Negative,,
L,,,Animal-Chicken-Broiler / Young Chicken Carcass Rinse,10/4/2022,,,,,,,Positive,Typhimurium,<10,Negative,,
L,,,Animal-Chicken-Broiler / Young Chicken Carcass Rinse,10/11/2022,,,,,,,Positive,Kentucky,30,Negative,,
L,,,Animal-Chicken-Broiler / Young Chicken Carcass Rinse,10/17/2022,,,,,,,Positive,Kentucky,<10,Negative,,
L,,,Animal-Chicken-Broiler / Young Chicken Carcass Rinse,10/24/2022,,,,,,,Positive,Kentucky,<10,Negative,,
L,,,Animal-Chicken-Broiler / Young Chicken Carcass Rinse,11/7/2022,,,,,,,,,,Negative,,
L,,,Animal-Chicken-Broiler / Young Chicken Carcass Rinse,11/14/2022,,,,,,,,,,Negative,,
L,,,Animal-Chicken-Broiler / Young Chicken Carcass Rinse,11/15/2022,,,,,,,,,,Negative,,
L,,,Animal-Chicken-Broiler / Young Chicken Carcass Rinse,11/21/2022,,,,,,,,,,Negative,,
L,,,Animal-Chicken-Broiler / Young Chicken Carcass Rinse,11/28/2022,,,,,,,,,,Negative,,
L,,,Animal-Chicken-Broiler / Young Chicken Carcass Rinse,12/6/2022,,,,,,,,,,Negative,,
L,,,Animal-Chicken-Broiler / Young Chicken Carcass Rinse,4/25/2022,,,,,,,,,,Negative,,
L,,,Animal-Chicken-Broiler / Young Chicken Carcass Rinse,4/26/2022,,,,,,,,,,Negative,,
L,,,Animal-Chicken-Broiler / Young Chicken Carcass Rinse,5/4/2022,,,,,,,Positive,Schwarzengrund,,,,
L,,,Animal-Chicken-Broiler / Young Chicken Carcass Rinse,5/9/2022,,,,,,,Positive,Schwarzengrund,,Negative,,
L,,,Animal-Chicken-Broiler / Young Chicken Carcass Rinse,5/17/2022,,,,,14,14 Delayed delivery by contract carrier,,,,,,
L,,,Animal-Chicken-Broiler / Young Chicken Carcass Rinse,5/18/2022,,,,,,,Positive,Typhimurium,,Negative,,
L,,,Animal-Chicken-Broiler / Young Chicken Carcass Rinse,6/7/2022,,,,,,,Negative,,,Negative,,
L,,,Animal-Chicken-Broiler / Young Chicken Carcass Rinse,6/16/2022,,,,,,,Negative,,,Negative,,
L,,,Animal-Chicken-Broiler / Young Chicken Carcass Rinse,6/27/2022,,,,,,,Negative,,,Negative,,
L,,,Animal-Chicken-Broiler / Young Chicken Carcass Rinse,6/29/2022,,,,,,,,,,Negative,,
L,,,Animal-Chicken-Broiler / Young Chicken Carcass Rinse,7/13/2022,,,,,,,Positive,Typhimurium,,Positive,Infantis,
L,,,Animal-Chicken-Broiler / Young Chicken Carcass Rinse,7/19/2022,,,,,,,Positive,Schwarzengrund,,Negative,,
L,,,Animal-Chicken-Broiler / Young Chicken Carcass Rinse,7/25/2022,,,,,,,Positive,Schwarzengrund,,Negative,,
L,,,Animal-Chicken-Broiler / Young Chicken Carcass Rinse,7/25/2022,,,,,31-2,"31-2 Sample Container damaged during shipping, undetermined cause, packing and shipping procedures appear to be followed",Positive,Typhimurium,,,,
L,,,Animal-Chicken-Broiler / Young Chicken Carcass Rinse,8/9/2022,,,,,,,Positive,Schwarzengrund,<10,Negative,,
L,,,Animal-Chicken-Broiler / Young Chicken Carcass Rinse,8/22/2022,,,,,,,Positive,Schwarzengrund,<10,Negative,,
L,,,Animal-Chicken-Broiler / Young Chicken Carcass Rinse,8/23/2022,,,,,,,,,,Negative,,
L,,,Animal-Chicken-Broiler / Young Chicken Carcass Rinse,8/29/2022,,,,,,,Positive,Schwarzengrund,22,Negative,,
L,,,Animal-Chicken-Broiler / Young Chicken Carcass Rinse,9/6/2022,,,,,,,Positive,Schwarzengrund,19,Negative,,
L,,,Animal-Chicken-Broiler / Young Chicken Carcass Rinse,9/6/2022,,,,,,,,,,Negative,,
L,,,Animal-Chicken-Broiler / Young Chicken Carcass Rinse,9/19/2022,,,,,,,Positive,"I -:b:e,n,x",<10,Negative,,
L,,,Animal-Chicken-Broiler / Young Chicken Carcass Rinse,10/3/2022,,,,,,,Positive,Schwarzengrund,<10,Negative,,
